city,run,method,n_particles,n_ref_epochs,n_pf_epochs,coverage_pct,honest_ppc_pct,honest_pass_m,honest_total_m,ms_per_epoch,rbpf_velocity_kf,position_update,dd_carrier_afv,dd_epochs_attempted,dd_epochs_applied,dd_pairs_total,rbpf_kf_gate_active,rbpf_kf_gate_min_dd_pairs,rbpf_kf_gate_min_ess_ratio,rbpf_kf_gate_max_spread_m,rbpf_kf_attempted,rbpf_kf_applied,rbpf_kf_skip_min_dd_pairs,rbpf_kf_skip_min_ess_ratio,rbpf_kf_skip_max_spread,hybrid_pu,hybrid_sigma_m,hybrid_attempted,hybrid_applied,hybrid_lookup_missing,fgo_lambda,fgo_windows_attempted,fgo_windows_solved,fgo_windows_applied,fgo_n_fixed_total,fgo_epochs_replaced
tokyo,run1,RBPF-velKF+DD+gate+hybrid,20000,11951,11861,99.24692494351937,39.462949906407616,4071.7650332535795,10317.943901584624,1.389540029842312,1,0,1,11861,9405,47704,1,4,0.02,-1.0,11861,7385,4476,0,0,1,1.0,11861,11305,556,0,0,0,0,0,0
tokyo,run1,RBPF-velKF+DD+gate+hybrid+phase4,20000,11951,11861,99.24692494351937,38.927996633903405,4016.5688546969045,10317.943901584624,1.7473890977940625,1,0,1,11861,9405,47704,1,4,0.02,-1.0,11861,7385,4476,0,0,1,1.0,11861,11305,556,1,443,443,297,2612,7819
tokyo,run2,RBPF-velKF+DD+gate+hybrid,20000,9151,9106,99.50825046443012,71.52269810031815,5117.207799890938,7154.662695629173,1.8298473610983932,1,0,1,9106,7748,47247,1,4,0.02,-1.0,9106,6492,2614,0,0,1,1.0,9106,8842,264,0,0,0,0,0,0
tokyo,run2,RBPF-velKF+DD+gate+hybrid+phase4,20000,9151,9106,99.50825046443012,69.13364511046903,4946.27911684739,7154.662695629173,2.2629617346784516,1,0,1,9106,7748,47247,1,4,0.02,-1.0,9106,6492,2614,0,0,1,1.0,9106,8842,264,1,341,341,218,2403,3817
tokyo,run3,RBPF-velKF+DD+gate+hybrid,20000,15301,15292,99.94118031501209,59.709390445420524,9746.850991817115,16323.81593432371,1.6701407253407496,1,0,1,15292,13449,90202,1,4,0.02,-1.0,15292,12245,3047,0,0,1,1.0,15292,14853,439,0,0,0,0,0,0
tokyo,run3,RBPF-velKF+DD+gate+hybrid+phase4,20000,15301,15292,99.94118031501209,60.139645555004286,9817.08504395359,16323.81593432371,2.073229945522009,1,0,1,15292,13449,90202,1,4,0.02,-1.0,15292,12245,3047,0,0,1,1.0,15292,14853,439,1,594,594,421,4797,11550
nagoya,run1,RBPF-velKF+DD+gate+hybrid,20000,7651,7541,98.562279440596,53.91901668122852,2405.3850916373776,4461.107118956035,1.66803818884454,1,0,1,7541,6359,38054,1,4,0.02,-1.0,7541,5942,1599,0,0,1,1.0,7541,7266,275,0,0,0,0,0,0
nagoya,run1,RBPF-velKF+DD+gate+hybrid+phase4,20000,7651,7541,98.562279440596,52.95537183662271,2362.3958628732153,4461.107118956035,2.2982553826965377,1,0,1,7541,6359,38054,1,4,0.02,-1.0,7541,5942,1599,0,0,1,1.0,7541,7266,275,1,268,268,134,1800,3673
nagoya,run2,RBPF-velKF+DD+gate+hybrid,20000,9451,9431,99.78838218177971,21.535238128963552,1021.0248295192391,4741.181979994103,1.9859960134833492,1,0,1,9431,7318,39234,1,4,0.02,-1.0,9431,5808,3623,0,0,1,1.0,9431,9171,260,0,0,0,0,0,0
nagoya,run2,RBPF-velKF+DD+gate+hybrid+phase4,20000,9451,9431,99.78838218177971,20.795033937082444,985.9304017586111,4741.181979994103,2.024893081967112,1,0,1,9431,7318,39234,1,4,0.02,-1.0,9431,5808,3623,0,0,1,1.0,9431,9171,260,1,349,349,201,2046,7627
nagoya,run3,RBPF-velKF+DD+gate+hybrid,20000,5201,5201,100.0,34.11734341843869,1135.4129909220906,3327.9642467955387,1.5361761945838615,1,0,1,5201,3940,19790,1,4,0.02,-1.0,5201,3034,2167,0,0,1,1.0,5201,4966,235,0,0,0,0,0,0
nagoya,run3,RBPF-velKF+DD+gate+hybrid+phase4,20000,5201,5201,100.0,31.98779782141714,1064.5424748340047,3327.9642467955387,1.8413551599865285,1,0,1,5201,3940,19790,1,4,0.02,-1.0,5201,3034,2167,0,0,1,1.0,5201,4966,235,1,197,197,143,1164,3704
