run,phase43_ppc_pct,phase70_ppc_pct,delta_pp,phase43_pass_m,phase70_pass_m,delta_pass_m
tokyo_run1,90.8415099143074,90.82760080526815,-0.013909109039246914,9372.976032310671,9371.54089824279,-1.4351340678804263
tokyo_run2,95.41006736257644,95.40078764872456,-0.009279713851881866,6826.268497464921,6825.6045652397,-0.6639322252212878
tokyo_run3,88.94916827829114,88.94916827829114,0.0,14519.898504860099,14519.898504860099,0.0
nagoya_run1,83.70028432773071,83.70028432773071,0.0,3733.9593427308378,3733.9593427308378,0.0
nagoya_run2,64.42658904709299,65.66977906567105,1.243190018578062,3054.5818302256275,3113.5237313635357,58.94190113790819
nagoya_run3,92.66214595766535,92.66214595766535,0.0,3083.7630877846,3083.7630877846,0.0
